Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -count exons -condenseGenes -raw -d BM_HSC_rep_1/BM_HSC_rep_1.mm10.rsem/BM_HSC_rep_1_STAR_RSEM_mm10_tagdir/ BM_HSC_rep_2/BM_HSC_rep_2.mm10.rsem/BM_HSC_rep_2_STAR_RSEM_mm10_tagdir/ FL_HSC_E14.5_rep_1/FL_HSC_E14.5_rep_1.mm10.rsem/FL_HSC_E14.5_rep_1_STAR_RSEM_mm10_tagdir/ FL_HSC_E14.5_rep_2/FL_HSC_E14.5_rep_2.mm10.rsem/FL_HSC_E14.5_rep_2_STAR_RSEM_mm10_tagdir/)	chr	start	end	strand	Length	Copies	Annotation/Divergence	BM_HSC_rep_1/BM_HSC_rep_1.mm10.rsem/BM_HSC_rep_1_STAR_RSEM_mm10_tagdir/ (7419491.0 total)	BM_HSC_rep_2/BM_HSC_rep_2.mm10.rsem/BM_HSC_rep_2_STAR_RSEM_mm10_tagdir/ (7649856.0 total)	FL_HSC_E14.5_rep_1/FL_HSC_E14.5_rep_1.mm10.rsem/FL_HSC_E14.5_rep_1_STAR_RSEM_mm10_tagdir/ (8316299.0 total)	FL_HSC_E14.5_rep_2/FL_HSC_E14.5_rep_2.mm10.rsem/FL_HSC_E14.5_rep_2_STAR_RSEM_mm10_tagdir/ (8521956.0 total)
NM_001010829	chr10	23992405	23993481	-	1075.0	1	Taar7a|Gm229|taR-7a|-|10|10 A4|protein-coding	0.000	0.000	0.000	0.000
NR_037209	chr7	61726249	61726328	-	79.0	1	Mir344d-3|mir-344d-3|mmu-mir-344d-3|-|7 C|7 34.28 cM|ncRNA	0.000	0.000	0.000	0.000
NM_153804	chr12	76533560	76579039	+	4934.0	1	Plekhg3|BC030417|-|12|12 C3|protein-coding	18.500	14.000	44.500	75.000
NR_045735	chr9	72518250	72531858	-	1188.0	1	4930509E16Rik|-|-|9|9 D|ncRNA	41.000	1.000	3.000	1.000
NR_045302	chr17	3557824	3559863	+	560.0	1	1700102H20Rik|-|-|17|17 A1|ncRNA	0.000	0.000	0.000	0.000
NM_001081033	chr2	75991132	76338653	-	2826.0	1	Pde11a|6330414F14Rik|A630086N24Rik|Gm350|PDE11A1|-|2|2 C3|protein-coding	1.000	0.000	0.000	2.000
NM_146223	chr9	57599992	57606281	-	2854.0	1	Cplx3|BC016632|CpxIII|ERGIC-53L|ERGL|Lamn1l|Lman1l|-|9|9 B|protein-coding	0.000	0.000	0.000	0.000
NM_021788	chr8	57482702	57487860	-	1177.0	1	Sap30|30kDa|-|8 B2|8 29.85 cM|protein-coding	76.000	39.000	79.000	61.000
NM_007805	chr11	105933702	105944487	-	2808.0	1	Cyb561|-|-|11 E1|11 68.81 cM|protein-coding	0.000	26.000	30.000	3.500
NM_008577	chr19	8706882	8713897	-	2561.0	1	Slc3a2|4F2|4F2HC|AI314110|Cd98|Ly-10|Ly-m10|Ly10|Mdu1|Mgp-2hc|NACAE|-|19 A|19 5.44 cM|protein-coding	414.000	685.000	577.000	615.000
NM_153596	chr11	22512283	22519231	+	1364.0	1	Tmem17|AI503894|AW049890|-|11|11 A3.2|protein-coding	6.500	42.000	1.000	6.500
NM_013477	chr8	105524461	105566064	-	1640.0	1	Atp6v0d1|AI267038|Ac39|Atp6d|P39|VATX|Vma6|-|8|8 D3|protein-coding	458.500	427.500	473.000	656.000
NM_030166	chr14	32029103	32058326	+	2329.0	1	Galnt15|4631401E18Rik|Galntl2|mpp-GalNAc-T15|-|14|14 B|protein-coding	0.000	1.000	0.000	0.000
NR_104340	chr10	80339793	80348448	-	3544.0	1	Adamtsl5|2010109H09Rik|Thsd6|-|10|10 C1|protein-coding	162.000	327.500	28.000	31.000
NM_026445	chr5	129846990	129863951	+	2150.0	1	Sumf2|2610040F05Rik|-|5|5 G1.3|protein-coding	68.000	97.500	168.500	91.000
NM_016799	chr4	135320484	135353214	-	3712.0	1	Srrm1|AA407769|POP101|Srm160|-|4|4 D3|protein-coding	1704.500	1987.000	2438.000	3101.500
NM_001191032	chrX	39862919	39863604	-	504.0	1	Cypt14|-|-|X|X A3.3|protein-coding	0.000	0.000	0.000	0.000
NM_001171003	chr6	40628831	40769123	+	6438.0	1	Mgam|6030407P20Rik|MGA|-|6|6 B1|protein-coding	0.000	11.000	0.000	5.000
NM_013896	chr12	71123172	71136675	-	1011.0	1	Timm9|2810011L15Rik|Tim10a|Timm10|-|12 C2|12|protein-coding	40.500	88.000	117.000	109.500
NM_001286469	chr8	18932729	18950871	-	3902.0	1	Xkr5|5430438H03Rik|XRG5|-|8|8 A1.3|protein-coding	25.000	64.000	97.000	87.500
NR_040569	chr16	78560316	78564869	+	1877.0	1	4930478L05Rik|-|-|16|16 C3.1|ncRNA	0.000	0.000	0.000	0.000
NM_013659	chr7	80186841	80226524	+	3929.0	1	Sema4b|SemC|Semac|mKIAA1745|-|7|7 D2|protein-coding	946.000	863.500	506.500	491.500
NM_001101600	chr9	59951294	59959044	+	609.0	1	Gm7616|EG665389|-|9|9 B|protein-coding	0.000	0.000	0.000	0.000
NM_020603	chr17	33940723	33949695	+	2147.0	1	Wdr46|2310007I04Rik|Bing4|C78447|C78559|-|17|17 B1|protein-coding	208.500	258.000	375.500	479.500
NM_010009	chr10	127048246	127053006	+	2410.0	1	Cyp27b1|Cp2b|Cyp1|Cyp27b|Cyp40|P450c1|Pddr|Vdd1|Vddr|VddrI|Vdr|-|10|10 D3|protein-coding	2.000	0.000	3.000	2.000
NM_024212	chr9	64173387	64178562	+	1410.0	1	Rpl4|2010004J23Rik|-|9|9 C|protein-coding	7836.500	8292.500	10825.500	12204.000
NM_207176	chr6	17065149	17105825	+	2433.0	1	Tes|D6Ertd352e|TESS|Tes1|Tes2|testin2|-|6 A2|6 7.67 cM|protein-coding	125.000	264.500	443.500	420.000
NR_028533	chr7	44250150	44250221	+	71.0	1	Snord88a|MBII-211|-|7 B3|7|snoRNA	0.000	0.500	2.500	0.500
NM_025416	chr3	94342099	94347352	+	1243.0	1	Them5|1110007B02Rik|1110038F21Rik|-|3|3 F2.1|protein-coding	0.000	0.000	0.000	0.000
NM_001347351	chr17	35235010	35238767	+	1558.0	1	Atp6v1g2|1500002D01Rik|Atp6g2|NG38|VAG2|-|17|17 B1|protein-coding	231.000	163.000	70.500	97.500
NM_016678	chr4	43875530	43944806	+	4410.0	1	Reck|St15|mRECK|-|4|4 B1|protein-coding	117.500	226.500	262.000	195.500
NM_024288	chr6	71388634	71440637	-	6154.0	1	Rmnd5a|1110007A06Rik|AJ237586|AW125795|Gid2|MTA.D02.090|-|6|6 C1|protein-coding	769.500	868.500	685.500	759.500
NM_001039502	chr11	99582549	99583677	-	1126.0	1	Krtap1-4|OTTMUSG00000004966|-|11 D|11|protein-coding	0.000	0.000	0.000	0.000
NM_028589	chr11	85171096	85181154	+	967.0	1	1700125H20Rik|-|-|11|11 C|protein-coding	0.000	0.000	0.000	0.000
NM_001166725	chr7	21360368	21361291	-	922.0	1	Vmn1r129|EG621510|Gm6237|-|7|7 A3|protein-coding	0.000	0.000	0.000	0.000
NM_207156	chr14	50680691	50681645	-	952.0	1	Olfr747|MOR106-16|MOR106-7|-|14|14 C1|protein-coding	0.000	0.000	0.000	0.000
NM_175107	chr7	27553290	27582098	+	2631.0	1	2310022A10Rik|-|-|7|7 A3|protein-coding	102.000	57.000	162.000	202.500
NM_001011833	chr2	87710972	87711904	-	931.0	1	Olfr1137|MOR177-20|MOR40-9P|-|2|2 D|protein-coding	0.000	0.000	0.000	0.000
NR_131136	chr8	13998940	14003561	+	658.0	1	Gm5907|EG546036|Gm845|-|8|8 A1.1|ncRNA	0.000	0.000	0.000	2.000
NM_025373	chr12	55302637	55382491	+	3108.0	1	1110008L16Rik|Kiaa0391|Mrpp3|mKIAA0391|-|12|12 C1|protein-coding	486.500	661.500	597.500	751.000
NM_007737	chr1	45374331	45503282	-	6559.0	1	Col5a2|1110014L14Rik|-|1|1 C1.1|protein-coding	0.000	0.000	7.000	7.000
NM_010162	chr15	53068261	53346183	-	3451.0	1	Ext1|AA409028|-|15 C|15 20.0 cM|protein-coding	75.000	140.500	162.500	156.000
NM_053098	chr6	24597771	24605414	+	1962.0	1	Lmod2|C-Lmod|-|6|6 A3.1|protein-coding	0.000	0.000	0.000	0.000
NM_173015	chr8	113635799	113645192	+	5040.0	1	Mon1b|5031407H10|5033413H12Rik|-|8|8 E1|protein-coding	396.000	331.500	294.000	336.500
NM_011001	chr9	19780283	19784064	+	1182.0	1	Olfr58|IG6|MOR146-3|MOR146-7P|-|9|9 A3|protein-coding	0.000	0.000	0.000	0.000
NM_001277861	chr19	10550461	10555763	-	1035.0	1	Tmem216|1110017C22Rik|2810441K11Rik|4921533J23Rik|A930021F15Rik|AI482550|-|19|19 A|protein-coding	42.000	54.500	61.000	65.000
NM_001160142	chrY	64301785	64786299	-	1214.0	1	Gm20867|-|-|Y|Y D|protein-coding	0.000	0.000	0.000	0.000
NM_001045516	chr11	78193392	78205763	+	1507.0	1	Proca1|4933404M19Rik|-|11|11 B5|protein-coding	15.000	9.000	4.000	12.000
NR_029644	chr7	3220641	3220724	+	83.0	1	Mir294|Mirn294|mir-294|mmu-miR-294|-|7 A1|7|ncRNA	0.000	0.000	0.000	0.000
NM_146869	chr9	38401711	38403829	+	1172.0	1	Olfr147|M3|MOR164-1|-|9|9 A5.1|protein-coding	0.000	0.000	0.000	0.000
NM_015759	chr13	49263110	49309208	-	3090.0	1	Fgd3|5830461L01Rik|ZFYVE5|-|13 A5|13 25.18 cM|protein-coding	66.000	89.000	22.000	76.000
NM_009219	chr2	148395377	148396764	+	1385.0	1	Sstr4|Smstr4|sst4|-|2 G3|2 73.44 cM|protein-coding	0.000	5.000	0.000	0.000
NM_134157	chr6	83743017	83758810	+	1911.0	1	Atp6v1b1|AW208839|Atp6b1|D630003L15|D630030L16Rik|D630039P21Rik|Vpp-3|Vpp3|-|6 C3|6 35.94 cM|protein-coding	0.000	0.000	0.000	0.000
NM_019634	chrX	10485116	10596604	+	1764.0	1	Tspan7|1200014P11Rik|A15|AI323365|Cd231|Mxs1|PE31|R74651|TALLA|Tm4sf2|-|X|X A1.1|protein-coding	0.000	0.000	8.000	41.000
NM_001163126	chr12	31654869	31937630	+	2972.0	1	Cog5|5430405C01Rik|C87247|D18362|GOLTC1|GTC90|-|12|12 A2-A3|protein-coding	271.500	283.000	410.500	372.500
NM_001166437	chrX	8154472	8176181	-	2432.0	1	Tbc1d25|6330576A08Rik|DXHXS7927e|Oatl1|-|X A1.1|X 3.69 cM|protein-coding	108.500	157.500	178.500	186.500
NM_001011809	chr14	50139702	50140637	-	934.0	1	Olfr728|MOR246-1P|-|14|14 C1|protein-coding	0.000	0.000	0.000	0.000
NM_009378	chr2	148404471	148408188	-	3715.0	1	Thbd|AI385582|CD141|TM|-|2 G3|2 73.45 cM|protein-coding	116.000	62.000	296.000	251.000
NM_175669	chrX	13661363	13667433	+	2491.0	1	Gpr82|-|-|X|X A1.1|protein-coding	3.000	2.000	9.000	2.000
NM_001290443	chr4	34024872	34050065	-	1167.0	1	Spaca1|1700124L11Rik|4930540L03Rik|-|4|4 A5|protein-coding	16.500	11.000	0.000	2.000
NM_001177588	chr6	132361105	132364134	-	910.0	1	Gm8882|EG667929|-|6|6 G1|protein-coding	0.000	0.000	0.000	0.000
NM_173369	chr8	88697028	88751946	+	7995.0	1	Cyld|2010013M14Rik|2900009M21Rik|C130039D01Rik|CDMT|CYLD1|EAC|mKIAA0849|-|8|8 C3|protein-coding	686.500	669.500	325.000	295.000
NM_011082	chr1	130826684	130852249	+	3836.0	1	Pigr|-|-|1 E4|1 56.89 cM|protein-coding	0.000	0.000	0.000	0.000
NM_001177419	chr9	109322886	109339659	-	1666.0	1	Fbxw28|Gm9337|-|9 F2|9|protein-coding	0.000	0.000	0.000	0.000
NM_183256	chr15	99725618	99728136	+	719.0	1	Cox14|2310016M24Rik|AA959804|-|15|15 F1|protein-coding	27.000	86.000	90.000	75.000
NM_144835	chr13	12395375	12438893	+	6729.0	1	Heatr1|AA517551|B130016L12Rik|BC019693|-|13 A1|13 4.56 cM|protein-coding	420.500	492.500	773.500	953.000
NR_130992	chr10	97714772	97719363	+	463.0	1	4930525C09Rik|-|-|10|10 C3|ncRNA	0.000	0.000	0.000	0.000
NM_001004159	chr6	123173023	123204671	+	1036.0	1	Clec4b2|Aplra1|F830043G12Rik|mDCAR1|-|6|6 F2|protein-coding	0.000	0.000	0.000	0.000
NM_027256	chr7	97480956	97541398	+	3219.0	1	Ints4|2610034N24Rik|AA692684|AW493223|-|7|7 E1|protein-coding	799.500	969.500	998.000	1045.000
NR_045497	chr8	41827267	42046202	+	1239.0	1	2810404M03Rik|-|-|8|8 A4|ncRNA	0.000	0.000	0.000	0.000
NM_028002	chr12	31640055	31654826	-	1759.0	1	Dus4l|2310069P03Rik|2700089B10Rik|AI482040|Pp35|-|12|12 A2|protein-coding	81.500	72.000	63.500	57.000
NM_019631	chr16	56805161	56886163	-	2690.0	1	Tmem45a|C630002M10Rik|M32486|p19.5|-|16|16 C1.1|protein-coding	0.000	0.000	0.000	0.000
NM_022424	chr5	31292242	31295932	-	2320.0	1	Fndc4|2810430J06Rik|6330410H20Rik|AB030187|AI838506|AW487863|FRCP1|Fnmp1|-|5|5 B1|protein-coding	13.500	18.000	22.500	24.000
NM_153507	chr8	94533028	94570529	+	2284.0	1	Cpne2|3322401K10Rik|-|8|8 C5|protein-coding	662.000	565.500	65.500	194.500
NM_001083906	chr8	76902508	77243639	+	4076.0	1	Nr3c2|MR|Mlr|-|8 C1|8 36.34 cM|protein-coding	127.500	54.000	7.500	42.000
NM_177089	chr8	25154552	25201542	-	7773.0	1	Tacc1|4833447E04Rik|AA960202|B230378H13Rik|-|8|8 A2|protein-coding	1631.000	1494.500	1173.000	1588.500
NM_001034101	chr4	144357964	144364419	+	2066.0	1	Gm13119|OTTMUSG00000010537|-|4|4 E1|protein-coding	0.000	0.000	0.000	0.000
NM_001159775	chr11	73798753	73802984	-	1116.0	1	Olfr391-ps|MOR135-24|Olfr391|Olfr391-ps1|-|11|11 B4|protein-coding	0.000	0.000	0.000	0.000
NM_013812	chr5	124345439	124354628	-	1244.0	1	Cdk2ap1|Apc10|Cdkap1|DORC1|Doc1|ST19|doc-1|p12|-|5|5 F|protein-coding	693.500	450.000	728.500	1042.000
NR_105899	chr11	119154076	119154137	-	61.0	1	Mir6934|Gm27523|mmu-mir-6934|-|11|11 E2|ncRNA	0.000	0.000	0.000	0.000
NM_010907	chr12	55489409	55492647	-	1571.0	1	Nfkbia|AI462015|Nfkbi|-|12|12 C1|protein-coding	155.000	115.000	48.000	48.000
NM_008490	chr8	105939551	105943402	-	1354.0	1	Lcat|AI046659|D8Wsu61e|-|8 D3|8 53.06 cM|protein-coding	0.000	0.000	0.000	2.000
NM_146463	chr2	88851952	88852881	+	928.0	1	Olfr1204|MOR232-6|-|2|2 E1|protein-coding	0.000	0.000	0.000	0.000
NM_009936	chr2	180598222	180622185	+	2812.0	1	Col9a3|AV006866|-|2 H4|2 103.14 cM|protein-coding	0.000	0.000	1.000	4.000
NM_133771	chr17	74200700	74294863	-	1488.0	1	Memo1|0610016J10Rik|D930048L02Rik|-|17|17 E2|protein-coding	123.000	114.000	301.000	275.500
NM_001199840	chr10	78916842	78917936	+	1092.0	1	Olfr1354|EG257869|GA_x5J8B7TPDN2-1058-1265|GA_x6K02T03FR9-4826-3919|MOR139-5|MOR139-7|MOR185-8|Olfr1354-ps1|Olfr233-ps1|-|10|10 C1|protein-coding	0.000	0.000	0.000	0.000
NM_001252072	chr7	123983181	124398989	+	2873.0	1	Hs3st4|EG628779|Gm6915|-|7 F3|7 67.56 cM|protein-coding	0.000	0.000	0.000	0.000
NM_001081237	chr6	147091075	147112778	+	6566.0	1	Klhl42|A330079N23Rik|AI450355|C230080I20Rik|Ctb9|Klhdc5|mKIAA1340|-|6|6 G3|protein-coding	429.000	622.000	257.000	467.000
NM_001167167	chr7	21795811	21796728	-	916.0	2	Gm4177|Vmn1r134|-|7 A3|7|protein-coding	0.000	0.000	0.000	0.000
NM_146831	chr17	38148590	38149528	+	937.0	1	Olfr133|MOR256-6|-|17|17 B1|protein-coding	0.000	0.000	0.000	0.000
NM_206537	chr19	40037940	40073813	-	1761.0	1	Cyp2c54|EG404195|-|19|19 C3|protein-coding	0.000	0.000	0.000	0.000
NR_045990	chr19	4439323	4448325	+	912.0	1	A930001C03Rik|-|-|19|19 A|ncRNA	0.000	0.000	0.000	0.000
NM_175333	chr17	57032772	57041654	-	1217.0	1	Slc25a41|4933406J04Rik|AI507137|-|17|17 D|protein-coding	0.000	5.000	1.000	10.000
NM_146537	chr11	58841116	58842042	+	925.0	1	Olfr311|MOR222-1|-|11|11 B1.3|protein-coding	0.000	0.000	0.000	0.000
NR_015514	chr8	94433127	94435103	-	1535.0	1	9330175E14Rik|A630085K21|-|8|8 C5|ncRNA	45.000	5.000	5.000	6.500
NM_027191	chr10	88146992	88178395	+	1260.0	1	Nup37|2410003L22Rik|2810039M17Rik|-|10|10 C1|protein-coding	25.500	57.000	81.000	120.000
NM_207273	chr3	93960292	93961314	-	1021.0	2	Tdpoz5|-|-|3|3 F2.1|protein-coding	0.000	0.000	0.000	0.000
NM_029090	chr16	3884619	3904781	+	2416.0	1	Naa60|1200013P24Rik|AI315146|Nat15|-|16|16 A1|protein-coding	343.000	232.500	271.500	402.500
NM_001001452	chr6	42400238	42401119	+	880.0	1	Tas2r143|Gm1404|Tas2r43|mt2r36|-|6|6 B2.1|protein-coding	3.000	0.000	0.000	0.000
NM_001177706	chr2	180967300	180982524	+	2838.0	1	Arfgap1|AI115377|Arf1gap|-|2 H4|2 103.53 cM|protein-coding	288.000	289.500	370.500	221.500
NM_198417	chr7	27674661	27706482	+	4582.0	1	Zfp607b|C030039L03Rik|-|7|7 A3|protein-coding	33.000	45.500	20.500	25.000
NM_009535	chr5	32611171	32687066	+	4594.0	1	Yes1|Yes|p61-Yes|-|5 B1|5 17.33 cM|protein-coding	84.000	82.000	32.500	84.500
NM_010264	chr2	38723374	38926461	-	6172.0	1	Nr6a1|1700113M01Rik|Gcnf|NCNF|RTR|-|2|2 B|protein-coding	24.000	47.500	73.000	77.500
NM_025697	chr14	61531851	61556886	-	4137.0	1	Spryd7|6330409N04Rik|Clld6|-|14|14 D1|protein-coding	135.000	93.000	19.000	48.000
NM_001170669	chr13	95024105	95223050	-	4598.0	1	Pde8b|B230331L10Rik|C030047E14Rik|-|13|13 D1|protein-coding	21.000	45.500	41.500	23.000
NR_045660	chr14	76514558	76520855	-	1654.0	1	4930444M15Rik|-|-|14|14 D3|ncRNA	0.000	0.000	0.000	0.000
NM_011779	chr5	113842439	113908706	-	3423.0	1	Coro1c|AL022675|AW455561|AW548837|-|5|5 F|protein-coding	599.000	379.000	947.500	972.500
NR_028531	chr14	31014293	31014351	-	58.0	1	Snord69|MBII-210|-|14 B|14|snoRNA	0.000	0.000	0.000	0.000
NR_035467	chr16	18284239	18284317	-	78.0	1	Mir1306|mmu-mir-1306|-|16 A3|16 11.33 cM|ncRNA	5.500	0.500	4.000	2.500
NM_025733	chr14	95881266	95882778	+	1155.0	1	4921530L21Rik|-|-|14|14 E2.1|protein-coding	0.000	0.000	0.000	0.000
NM_153794	chr18	68260185	68300333	-	9647.0	1	Fam210a|4933403F05Rik|AA987140|AV134576|AW491926|-|18|18 E2|protein-coding	731.500	908.000	782.500	972.000
NM_001002895	chr17	27563769	27565727	-	630.0	1	AI413582|AI854251|-|17|17 A3.3|protein-coding	38.500	22.000	18.500	14.000
NM_183026	chr8	19194328	19195309	+	326.0	1	Defb14|BD-14|-|8|8 A1.3|protein-coding	0.000	0.000	0.000	0.000
NM_134233	chr7	12361808	12362764	-	955.0	1	Vmn1r84|V1rg11|-|7|7 A1|protein-coding	0.000	0.000	0.000	0.000
NM_008090	chr6	88198664	88207032	+	3235.0	1	Gata2|Gata-2|-|6 D1|6 39.2 cM|protein-coding	2506.500	2944.000	1832.500	1952.500
NM_013694	chr16	10787935	10788655	-	546.0	1	Tnp2|TP2|Tp-2|-|16 A1|16 5.83 cM|protein-coding	0.000	0.000	0.000	0.000
NM_013777	chr13	4268172	4279399	-	1220.0	1	Akr1c12|AI266976|Akra|-|13|13 A1|protein-coding	4.000	4.000	32.000	28.000
NR_033561	chrX	8145427	8147963	+	837.0	1	Rbm3os|2900002K06Rik|-|X|X A1.1|ncRNA	19.000	82.000	39.000	55.500
NR_045933	chr13	26283159	26312406	-	1638.0	1	1700092E19Rik|-|-|13|13 A3.1|ncRNA	0.000	0.000	0.000	0.000
NR_045032	chr12	32824116	32826908	+	2792.0	1	Gdap10|Gdap-ps|-|12|12 A3|ncRNA	473.500	552.500	309.500	377.500
NM_033592	chr18	37736936	37841863	+	4711.0	1	Pcdhga9|-|-|18|18 B3|protein-coding	311.500	318.000	225.000	348.500
NM_009090	chr8	94857450	94864240	+	1567.0	1	Polr2c|33kDa|RPB3|Rpo2-3|mRBP31|-|8|8 C5|protein-coding	76.500	76.500	100.500	132.000
NM_013756	chr8	19293361	19295339	+	318.0	1	Defb3|BD-3|-|8|8 A1.3|protein-coding	0.000	0.000	0.000	0.000
NM_172808	chr14	34053470	34075999	+	2107.0	1	Antxrl|1700112N15Rik|4933430J11|-|14|14 B|protein-coding	0.000	0.000	0.000	0.000
NM_025634	chr16	21152659	21153944	-	1283.0	1	Teddm3|2310042E22Rik|-|16|16 B1|protein-coding	0.000	0.000	0.000	0.000
NR_104378	chr4	22357543	22434091	+	3676.0	1	Fbxl4|AI836810|FBL4|FBL5|-|4|4 A3|protein-coding	62.000	88.000	74.000	120.000
NM_020606	chr7	112427706	112591688	+	4435.0	1	Parva|2010012A22Rik|5430400F08Rik|AI225929|AU042898|Actp|CH-ILKBP|Parvin|-|7|7 F1|protein-coding	0.000	0.000	11.000	39.000
NM_177747	chrX	112600526	112635062	+	4319.0	1	Zfp711|2810409C01Rik|A230078I01Rik|Znf711|-|X|X E1|protein-coding	57.000	35.000	66.000	50.500
NM_009724	chr8	13386209	13396778	-	1318.0	1	Atp4b|AV080843|-|8 A1.1|8 5.89 cM|protein-coding	0.000	0.000	0.000	0.000
NM_001201367	chr4	131921771	131923140	+	1367.0	1	Tmem200b|EG623230|-|4|4 D2.3|protein-coding	0.000	1.000	2.000	1.000
NM_011350	chr6	82911885	82939769	-	4070.0	1	Sema4f|Sema W|-|6 C3|6 35.94 cM|protein-coding	55.000	91.500	17.000	28.000
NM_008879	chr14	75136425	75230842	+	3729.0	1	Lcp1|AW536232|D14Ertd310e|LCP-1|Pls2|pp65|-|14 D3|14 39.63 cM|protein-coding	2844.500	3214.500	3732.000	4267.000
NM_009428	chrX	144377327	144688180	-	8489.0	1	Trpc5|CCE2|TRP-5|TRP5|Trrp5|-|X F2|X 65.49 cM|protein-coding	0.000	0.000	22.000	0.000
NM_177774	chr4	33208991	33233343	+	2937.0	1	Srsf12|B830039L16|Sfrs13b|Srrp|Srsf13b|-|4|4 A5|protein-coding	4.500	1.000	14.000	1.000
NM_175332	chr11	97627387	97629716	-	2327.0	1	Epop|AA409164|AI413509|AW539173|E13|E130012A19Rik|esPRC2p48|-|11|11 D|protein-coding	9.000	3.000	8.000	18.000
NM_001098225	chr5	8072347	8368160	-	9120.0	1	Adam22|2900022I03Rik|AI854032|MDC2|-|5 A1|5 3.39 cM|protein-coding	927.500	730.500	215.500	223.000
NM_178894	chr5	94377340	94384334	+	1207.0	1	AA792892|-|-|5|5 E3|protein-coding	0.000	0.000	0.000	0.000
NM_173780	chrX	153237748	153398924	+	7535.0	1	Klf8|A830097P10Rik|BKLF3|ZNF74|-|X|X F3|protein-coding	121.500	90.000	59.000	159.500
NM_011443	chr3	34649995	34652460	+	2463.0	1	Sox2|Sox-2|lcc|ysb|-|3 A3|3 16.93 cM|protein-coding	0.000	0.000	0.000	0.000
NM_023281	chr13	74322255	74350240	-	2842.0	1	Sdha|1500032O14Rik|2310034D06Rik|4921513A11|C81073|FP|SDH2|SDHF|-|13|13 C1|protein-coding	1736.500	1681.500	1493.500	1955.000
NM_029891	chrX	36887542	36902899	-	3261.0	1	Nkrf|9430034D17Rik|AW124770|C80287|-|X|X A3.3|protein-coding	129.000	143.000	135.000	175.000
NM_027453	chr4	108814295	108833640	-	3159.0	1	Btf3l4|4632412E09Rik|5730434I03Rik|AI316863|AU022207|AW552446|-|4|4 C7|protein-coding	267.500	297.500	157.500	151.500
NM_146339	chr9	19917229	19922510	+	2666.0	1	Olfr77|18A|MOR143-1|-|9|9 A3|protein-coding	0.000	0.000	0.000	0.000
NM_198886	chr17	34894559	34896844	+	1831.0	1	Zbtb12|BC020447|Bat-9|Bat9|G10|NG35|-|17 B1|17 18.43 cM|protein-coding	13.000	42.500	7.500	10.000
NM_028063	chr15	85879327	85897393	+	1507.0	1	Trmu|1110005N20Rik|1600025P05Rik|AI314320|Trmt1|-|15|15 E2|protein-coding	36.000	31.000	24.500	46.500
NR_040640	chr4	101353783	101399185	+	614.0	1	0610043K17Rik|-|-|4|4 C6|ncRNA	1.000	13.000	0.000	4.000
NM_007536	chr9	88723288	88731850	-	792.0	1	Bcl2a1d|A1-d|-|9|9 E3.1|protein-coding	1.000	0.000	0.000	1.000
NM_013605	chr3	89229056	89233381	+	2234.0	1	Muc1|CD227|EMA|Muc-1|-|3 F1|3 39.02 cM|protein-coding	44.000	15.000	4.000	13.000
NM_027084	chr1	87183314	87188405	+	2164.0	1	Prss56|1700027L20Rik|-|1|1 C5|protein-coding	0.000	0.000	0.000	0.000
NR_029657	chrX	52742503	52742567	-	64.0	1	Mir106a|Mirn106a|mir-106a|-|X A5|X|ncRNA	0.000	0.000	0.000	0.000
NM_008618	chr11	21556692	21571934	-	1947.0	1	Mdh1|B230377B03Rik|D17921|MDH-s|MDHA|Mor-2|Mor2|-|11 A3.1|11 13.89 cM|protein-coding	323.000	279.500	467.000	423.500
NM_001081073	chr18	67616964	67641355	-	4417.0	1	Cep76|6230425F05Rik|9630013E05|-|18|18 E1|protein-coding	102.000	74.000	124.000	243.500
NM_146094	chr19	10182888	10196872	+	3444.0	1	Fads1|0710001O03Rik|A930006B21Rik|AI317215|DSD|-|19|19 A|protein-coding	1002.000	1074.000	1133.000	1242.000
NM_175283	chr13	69573449	69611463	-	2658.0	1	Srd5a1|0610031P22Rik|4930435F02Rik|S5AR 1|Srd5a-1|-|13 B3-C1|13 35.55 cM|protein-coding	34.000	30.500	80.500	72.500
NR_027886	chr8	22634384	22636809	-	2425.0	1	A930013F10Rik|-|-|8|8 A2|ncRNA	0.000	0.000	0.000	0.000
NM_029840	chr4	21757382	21767211	-	1581.0	1	Tstd3|2610029I01Rik|-|4|4 A3|protein-coding	4.000	0.000	34.000	62.000
NM_001012322	chr1	120006980	120063532	+	1906.0	1	Sctr|6530402O03Rik|-|1|1 E2.3|protein-coding	0.000	0.000	0.000	0.000
NM_010504	chr4	88841816	88842459	+	641.0	1	Ifna4|Ifa4|-|4 C4|4 42.03 cM|protein-coding	0.000	0.000	0.000	0.000
NM_024438	chr2	80617214	80631661	+	1457.0	1	Dusp19|5930436K22Rik|C79103|SKRP1|TS-DSP1|-|2|2 C3|protein-coding	46.000	6.000	88.000	79.000
NM_001290745	chr2	80500512	80581182	-	4371.0	1	Nckap1|C79304|H19|Hem-2|Hem2|Nap1|mKIAA0587|mh19|p125Nap1|-|2 C3|2 48.21 cM|protein-coding	343.000	362.500	82.000	106.500
NM_007957	chrX	137115397	137120326	-	1593.0	1	Esx1|Spx1|-|X F1|X 59.1 cM|protein-coding	0.000	0.000	0.000	0.000
