Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -condenseGenes -count exons -rpkm -d BM_HSC_rep_1/BM_HSC_rep_1.mm10.rsem/BM_HSC_rep_1_STAR_RSEM_mm10_tagdir/ BM_HSC_rep_2/BM_HSC_rep_2.mm10.rsem/BM_HSC_rep_2_STAR_RSEM_mm10_tagdir/ FL_HSC_E14.5_rep_1/FL_HSC_E14.5_rep_1.mm10.rsem/FL_HSC_E14.5_rep_1_STAR_RSEM_mm10_tagdir/ FL_HSC_E14.5_rep_2/FL_HSC_E14.5_rep_2.mm10.rsem/FL_HSC_E14.5_rep_2_STAR_RSEM_mm10_tagdir/)	chr	start	end	strand	Length	Copies	Annotation/Divergence	BM_HSC_rep_1/BM_HSC_rep_1.mm10.rsem/BM_HSC_rep_1_STAR_RSEM_mm10_tagdir/ FPKM	BM_HSC_rep_2/BM_HSC_rep_2.mm10.rsem/BM_HSC_rep_2_STAR_RSEM_mm10_tagdir/ FPKM	FL_HSC_E14.5_rep_1/FL_HSC_E14.5_rep_1.mm10.rsem/FL_HSC_E14.5_rep_1_STAR_RSEM_mm10_tagdir/ FPKM	FL_HSC_E14.5_rep_2/FL_HSC_E14.5_rep_2.mm10.rsem/FL_HSC_E14.5_rep_2_STAR_RSEM_mm10_tagdir/ FPKM
NM_010353	chr11	73135484	73138294	-	2808.0	1	Gsg2|Haspin|-|11 B4|11 45.25 cM|protein-coding	1.440	2.933	5.524	8.149
NR_144498	chr7	30280094	30290237	+	1181.0	1	LOC108167416|-|-|7 B1|ncRNA	0.000	0.166	0.153	0.050
NM_025591	chr6	86365683	86370058	+	1601.0	1	Fam136a|2010309E21Rik|AW124904|Hyccin|-|6|6 D1|protein-coding	3.957	2.327	4.319	4.508
NM_019721	chr14	52294842	52305124	-	2007.0	1	Mettl3|2310024F18Rik|M6A|Spo8|-|14|14 C2|protein-coding	8.932	17.162	15.398	16.225
NM_009910	chrX	101731535	101734147	-	1605.0	1	Cxcr3|Cd183|Cmkar3|-|X D|X 44.58 cM|protein-coding	0.000	0.000	0.787	2.413
NM_007983	chr4	109676627	109963960	+	4408.0	1	Faf1|AA408698|Dffrx|Fam|-|4 C7|4 51.33 cM|protein-coding	7.675	5.219	8.088	8.665
NM_172500	chr12	104929933	105009809	-	5078.0	1	Syne3|nesprin-3|-|12|12 E|protein-coding	7.233	7.195	4.582	4.367
NM_019403	chr17	34601099	34603561	-	1093.0	1	Rnf5|2410131O05Rik|AA407576|NG2|-|17 B1|17 18.18 cM|protein-coding	36.192	19.375	33.059	37.576
NM_175138	chr4	41569794	41638158	+	2469.0	1	Dnaic1|1110066F04Rik|BB124644|Dnai1|b2b1526Clo|-|4|4 A5|protein-coding	0.000	0.000	0.024	0.143
NM_001304544	chr4	57568248	57896984	+	7360.0	1	Pakap|AF064781|Gm20459|Palm2-Akap2|Palm2Akap2|Palm2akap2|-|4 B3|4|protein-coding	0.000	0.000	0.057	0.574
NR_073191	chr2	11705293	11733985	+	1513.0	1	Il15ra|AA690181|IL-15RA|-|2 A1|2 8.97 cM|protein-coding	16.703	12.787	3.894	2.637
NM_147046	chr7	103345982	103346926	-	943.0	1	Olfr600|MOR39-1|-|7|7 E3|protein-coding	0.000	0.000	0.000	0.000
NM_145955	chr7	128696459	128740429	-	4135.0	1	Mcmbp|1110007A13Rik|AU017382|BC025641|MCM-BP|-|7|7 F3|protein-coding	14.244	10.211	14.031	21.369
NM_001136086	chr18	43320979	43373272	-	5218.0	1	Dpysl3|CRMP-4|DRP-3|TUC4|ULIP-1|Ulip|Ulip1|-|18|18 B3|protein-coding	0.000	0.000	0.196	1.237
NM_144909	chr5	31297581	31327302	+	1993.0	1	Gckr|GKRP|-|5 B1|5 17.27 cM|protein-coding	0.000	0.000	0.121	0.000
NM_027635	chr2	23207476	23267129	+	1829.0	1	4931423N10Rik|-|-|2|2 A3|protein-coding	0.000	0.000	0.000	0.000
NM_146523	chr9	19477301	19478248	-	946.0	1	Olfr850|MOR147-2|-|9|9 A2|protein-coding	0.000	0.000	0.000	0.000
NM_001311149	chr9	100982032	101034884	-	2179.0	1	Pccb|1300012P06Rik|AI314687|R74805|-|9|9 E4|protein-coding	8.845	20.667	16.721	11.767
NM_021524	chr12	32820335	32853369	+	4534.0	1	Nampt|1110035O14Rik|AI314458|AI480535|NAmPRTase|Pbef|Pbef1|Visfatin|-|12|12 A3|protein-coding	14.596	12.830	2.281	2.899
NM_033592	chr18	37736936	37841863	+	4711.0	1	Pcdhga9|-|-|18|18 B3|protein-coding	8.912	8.824	5.743	8.681
NM_001081142	chr4	120697473	120747176	-	2497.0	1	Kcnq4|-|-|4|4 D2.2|protein-coding	0.027	0.000	0.048	0.329
NR_038055	chr11	67112461	67120080	-	2719.0	1	2310065F04Rik|linc-Myh|-|11|11 B3|ncRNA	0.000	0.000	0.000	0.000
NM_025681	chr17	17402686	17459388	+	3095.0	1	Lix1|5730466L18Rik|-|17|17 A3.1-A3.2|protein-coding	0.044	0.211	0.039	0.038
NM_138745	chr12	76255232	76319820	+	3294.0	1	Mthfd1|Dcs|E430024A07Rik|Mthfd|-|12|12 C3|protein-coding	8.593	8.691	15.788	16.173
NM_175506	chr18	58836363	59053678	+	5042.0	1	Adamts19|4831407I23Rik|AU015154|D230034E10Rik|-|18|18 D3|protein-coding	0.000	0.000	0.000	0.000
NM_199009	chr7	105371211	105400054	-	10839.0	1	Fam160a2|4632419K20Rik|6530415H11Rik|FHIP|-|7|7 E3|protein-coding	5.005	5.940	5.270	5.732
NR_131242	chr7	23404102	23441923	+	3290.0	1	Nlrp5|Mater|Nalp5|Op1|PAN11|-|7 A3|7 10.22 cM|protein-coding	0.000	0.040	0.000	0.000
NM_001304785	chr17	56079631	56100604	+	2261.0	1	Hdgfrp2|HRP-2|-|17|17 D|protein-coding	12.757	3.845	10.929	17.801
NM_198630	chr2	127186355	127208280	-	1262.0	1	1810024B03Rik|-|-|2|2 F1|protein-coding	0.214	0.104	0.238	0.186
NM_001013810	chr7	38518139	38528193	-	3436.0	1	Gm5591|EG434171|-|7 B3|7|protein-coding	0.000	0.000	0.000	0.000
NR_045723	chr16	34943175	34958994	-	552.0	1	E130310I04Rik|A930019C19Rik|-|16|16 B3|ncRNA	0.610	0.829	0.654	0.319
NM_011073	chr10	61297836	61304263	+	2049.0	1	Prf1|Pfn|Pfp|Prf-1|-|10 B4|10 32.18 cM|protein-coding	0.000	0.000	0.000	0.000
NM_001039077	chr8	27042555	27050241	+	1440.0	1	Prosc|1700024N20Rik|2200002F22Rik|-|8|8 A2|protein-coding	10.623	11.347	7.474	6.641
NM_026286	chr18	52331536	52332996	+	1458.0	1	Ftmt|4930447C24Rik|FerH|Fth3|MtF|-|18|18 D1|protein-coding	0.000	0.000	0.000	0.000
NM_029640	chr15	72589620	73055812	-	3279.0	1	Trappc9|1810044A24Rik|2900005P22Rik|4632408O18Rik|Ibp|Nibp|TRS130|mKIAA1882|-|15|15 D3|protein-coding	12.290	11.541	7.628	10.593
NM_024413	chr7	38220654	38227994	-	1555.0	1	Plekhf1|1810013P09Rik|APPD|LAPF|PHAFIN1|ZFYVE15|-|7|7 B3|protein-coding	0.607	6.305	1.237	0.981
NM_020559	chr9	106233455	106247954	-	2689.0	1	Alas1|ALAS|ALAS-N|Alas-1|Alas-h|-|9|9 F1|protein-coding	5.488	4.545	5.478	3.557
NM_172339	chr2	26362765	26380653	-	4347.0	1	Snapc4|5730436L13Rik|-|2|2 A3|protein-coding	9.348	12.074	6.584	8.098
NM_133500	chr2	29194726	29248099	-	1738.0	1	Ntng2|2610016D08Rik|Lmnt2|-|2 B|2 19.57 cM|protein-coding	4.963	13.350	0.588	0.068
NM_013604	chr3	89209081	89214335	-	1512.0	1	Mtx1|Gcap6|Mtx|-|3 F1|3 39.01 cM|protein-coding	9.360	7.867	12.247	7.528
NM_010991	chr14	54281896	54282925	-	1027.0	1	Olfr49|IC6|MOR1181|-|14|14 C2|protein-coding	0.000	0.000	0.000	0.000
NM_016856	chr12	101975974	102005993	+	5298.0	1	Cpsf2|100kDa|2610024B04Rik|AI662483|Cpsf|MCPSF|mKIAA1367|-|12|12 E|protein-coding	12.669	11.264	25.238	31.606
NM_008152	chr12	98268635	98276722	+	2143.0	1	Gpr65|Dig1|Gpcr25|TDAG8|-|12|12 E|protein-coding	1.321	2.684	2.862	1.259
NM_008185	chr10	75783813	75798584	-	1030.0	1	Gstt1|AI255817|Gstt1-1|-|10 C1|10 38.58 cM|protein-coding	9.422	7.361	0.117	2.051
NM_170671	chr11	94501347	94521502	-	2907.0	1	Mycbpap|4932408B01Rik|AMAP-1|AW125474|-|11|11 D|protein-coding	1.345	0.000	0.538	0.444
NM_153553	chr19	4984354	4989971	-	3268.0	1	Npas4|LE-PAS|Nxf|-|19|19 A|protein-coding	0.000	0.000	0.000	0.000
NM_009914	chr9	124021971	124031689	+	3269.0	1	Ccr3|CC-CKR3|CKR3|Cmkbr1l2|Cmkbr3|-|9 F4|9 75.05 cM|protein-coding	0.000	0.280	0.000	0.000
NR_045936	chr14	39655663	39685293	+	392.0	1	1700109I08Rik|-|-|14|14 B|ncRNA	0.000	0.000	0.000	0.000
NM_020598	chr7	107097467	107098414	+	946.0	1	Olfr17|MOR263-5|P2|-|7|7 E3|protein-coding	0.000	0.000	0.000	0.000
NM_029770	chr10	60762595	60831581	-	5848.0	1	Unc5b|6330415E02Rik|A630020F16|D10Bwg0792e|Unc5h2|-|10 B4|10 31.52 cM|protein-coding	0.046	0.291	0.041	0.000
NM_172980	chr2	122426477	122461130	+	3883.0	1	Slc28a2|2010208B10Rik|B430217P18|BB152493|Cnt2|-|2|2 E5|protein-coding	10.656	8.820	6.070	8.975
NM_001033249	chr7	6315665	6330434	-	2758.0	1	Zfp583|BC056221|Znf583|-|7|7 A1|protein-coding	0.880	0.829	1.134	0.298
NR_036588	chr8	103343878	103347534	-	486.0	1	1600027J07Rik|-|-|8|8 D2|ncRNA	0.000	0.000	0.000	0.000
NR_024325	chr1	56971469	56975196	+	3727.0	1	9130024F11Rik|B530002L08|EG329160|-|1|1 C1.3|ncRNA	0.000	0.000	0.000	0.031
NM_027780	chr13	73699826	73709856	+	1531.0	1	Slc6a19os|5430425J12Rik|-|13|13 C1|protein-coding	0.000	0.000	0.000	0.000
NM_013876	chr4	109452857	109476505	-	2127.0	1	Rnf11|-|-|4|4 C7|protein-coding	2.978	3.503	3.703	2.483
NR_038017	chr10	93674218	93683322	-	902.0	1	Gm15915|OTTMUSG00000027787|-|10 C2|10 48.6 cM|ncRNA	5.529	1.014	2.400	4.033
NM_025399	chr12	112934291	112942142	-	1252.0	1	Nudt14|1110030M18Rik|UGPPase|-|12|12 F1|protein-coding	3.283	0.522	7.443	5.342
NM_001309401	chr14	6735683	6757057	-	1717.0	1	Gm3636|100042043|-|14 A1|14|protein-coding	1.099	1.903	2.031	1.743
NR_030490	chr8	84086099	84086186	+	87.0	1	Mir709|Mirn709|mir-709|mmu-mir-709|-|8 C2|8|ncRNA	0.000	0.000	0.000	0.000
NM_001308386	chrX	164070703	164076135	-	1693.0	1	Siah1b|AA960570|Sinh1b|siah-1b|-|X F5|X 76.11 cM|protein-coding	1.115	4.015	3.161	1.109
NR_045996	chr15	101221247	101222155	+	580.0	1	AU021063|-|-|15 F1|15|ncRNA	1.162	0.902	1.866	1.416
NM_029502	chr11	118406289	118419118	-	3084.0	1	Cant1|5830420C20Rik|Apy1h|D11Bwg0554e|Entpd8|SCAN-1|Shapy|-|11 E2|11 83.15 cM|protein-coding	5.004	4.323	4.367	4.604
NM_177318	chr9	22055411	22071376	-	2177.0	1	Zfp653|E430039K05Rik|Znf653|-|9|9 A3|protein-coding	1.176	2.642	2.182	3.288
NM_001244916	chr14	52311177	52316323	-	4764.0	1	Sall2|AI225809|AW559097|Msal-2|Sal-2|mKIAA0360|p150(Sal2)|-|14|14 C2|protein-coding	5.064	8.108	4.518	4.902
NM_145409	chr17	25719030	25727415	-	3082.0	1	Chtf18|6030457M03Rik|CTF18|Chl12|-|17|17 A3.3|protein-coding	2.055	0.276	3.316	4.302
NM_207155	chr17	37659378	37660331	-	952.0	1	Olfr117|MOR256-33|-|17|17 B1|protein-coding	0.000	0.000	0.000	0.000
NR_045801	chr3	153789305	153792087	-	1831.0	1	5730460C07Rik|-|-|3|3 H3|ncRNA	0.000	0.000	0.197	0.000
NM_146249	chr17	55938373	55945259	-	1891.0	1	Zfp119b|-|-|17|17 D|protein-coding	1.853	0.553	0.572	0.745
NR_030609	chr2	14261003	14261081	+	78.0	1	Mir511|Mirn511|mir-511|mmu-mir-511|-|2 A2|2|ncRNA	0.000	0.000	0.000	0.000
NR_033617	chr4	114821720	114856166	+	2304.0	1	Gm12830|OTTMUSG00000008584|-|4 D1|4|ncRNA	0.058	0.000	0.000	0.000
NM_021489	chr13	55417958	55426804	-	1955.0	1	F12|FXII|HAF|-|13|13 B1|protein-coding	0.000	0.000	0.000	0.000
NM_146686	chr19	12268232	12269170	+	937.0	1	Olfr235|MOR214-3|Olfr232|Olfr232-ps1|Olfr235-ps1|Olfr245|Olfr245-ps1|-|19|19 A|protein-coding	0.000	0.000	0.000	0.000
NM_030181	chrX	140907608	140939472	+	2698.0	1	Vsig1|1700062D20Rik|4930405J24Rik|-|X|X F1|protein-coding	0.000	0.000	0.000	0.000
NM_177325	chr11	74898080	74909340	+	3368.0	1	Tsr1|AU040765|AW550801|mKIAA1401|-|11|11 B5|protein-coding	12.045	12.439	16.602	20.103
NM_016804	chr2	74825812	74876748	+	1246.0	1	Mtx2|1500012G02Rik|-|2|2 C3|protein-coding	8.870	9.547	9.892	8.429
NM_001271509	chr7	142460812	142494868	+	1699.0	1	Lsp1|Lsp-1|WP34|p50|pp52|-|7 F5|7 87.93 cM|protein-coding	33.953	27.275	55.983	53.492
NM_023635	chr9	73044810	73097614	+	3040.0	1	Rab27a|2210402C08Rik|2410003M20Rik|4933437C11Rik|ash|-|9 D|9 40.08 cM|protein-coding	25.537	23.091	22.507	22.002
NM_001159320	chr11	98004925	98018372	-	1586.0	1	Cacnb1|CAB1|Cchb1|Cchlb1|-|11 D|11 61.5 cM|protein-coding	3.357	3.915	1.099	0.851
NR_073013	chr5	44966201	44978805	+	2252.0	1	4930431F12Rik|-|-|5|5 B3|ncRNA	0.000	0.000	0.000	0.000
NM_010280	chr18	34689898	34720387	-	1987.0	1	Gfra3|GFRalpha3|Y15110|-|18|18 B1|protein-coding	0.000	0.000	0.000	0.000
NM_019941	chr7	24134163	24143241	+	3446.0	1	Zfp235|0610030O19Rik|AI428448|-|7|7 A3|protein-coding	2.347	6.202	1.884	2.690
NR_002928	chr8	109339800	109340908	-	1108.0	1	Gm1943|-|-|8|8 D3|pseudo	0.000	0.000	0.000	0.000
NM_001039495	chr1	74902080	74935599	-	5683.0	1	Ccdc108|A230051F10|B230363K08Rik|Cfap65|-|1|1 C4|protein-coding	0.000	0.000	0.000	0.000
NM_026181	chr7	35276544	35318440	-	3035.0	1	Gpatch1|1300003A17Rik|ECGP|Gpatc1|-|7|7 B2|protein-coding	10.436	6.138	5.408	5.626
NM_010851	chr9	119335988	119340040	-	1897.0	1	Myd88|-|-|9 F3|9 71.33 cM|protein-coding	5.897	4.410	9.698	6.742
NM_028354	chr12	99884515	99955216	+	2037.0	1	Tdp1|2810481F14Rik|4921509N21Rik|AI838772|AW493413|E430034L06Rik|MLZ-501|SCAN1|-|12|12 E|protein-coding	4.698	5.615	7.999	5.645
NR_037954	chr16	24392556	24393655	-	852.0	1	Lppos|1110054M08Rik|AI481106|-|16|16 B1|ncRNA	1.266	1.304	1.341	0.344
NR_040271	chrX	144153695	144166274	+	4704.0	1	A730046J19Rik|-|-|X|X F2|ncRNA	0.000	0.000	0.000	0.000
NM_008541	chr13	56703010	56742378	+	6576.0	1	Smad5|1110051M15Rik|AI451355|Dwf-C|Madh5|MusMLP|-|13 B1|13 30.12 cM|protein-coding	23.683	15.863	22.711	24.081
NM_172509	chr5	130144888	130155808	+	4260.0	1	Kctd7|4932409E18|9430010P06Rik|-|5|5 G1.3|protein-coding	2.310	1.534	1.171	0.468
NM_001166206	chr2	131853678	131859747	-	3374.0	1	Erv3|1600014E20Rik|AA389086|AI426069|AI448024|D19349|-|2|2 F1|protein-coding	0.000	0.000	0.000	0.035
NM_144872	chr19	8929694	8941582	+	3156.0	1	Eml3|BC022146|-|19|19 A|protein-coding	13.410	18.349	10.382	11.303
NR_033616	chr10	60928226	60938132	-	850.0	1	Pldi|1700125F08Rik|Poldi|-|10|10 B4|ncRNA	0.000	0.000	0.000	0.000
NM_133894	chr5	87409940	87424203	-	1885.0	1	Ugt2b38|9430041C03Rik|AA986709|-|5|5 E1|protein-coding	0.000	0.000	0.000	0.000
NR_105947	chr18	37974503	37974617	-	114.0	1	Mir6981|Gm27609|mmu-mir-6981|-|18|18 B3|ncRNA	0.000	0.000	0.000	0.000
NM_001311105	chr9	72274888	72363771	+	4303.0	1	Zfp280d|A930005F02Rik|BC027163|Suhw4|ZNF634|Znf280d|-|9|9 D|protein-coding	13.484	17.529	21.308	19.975
NM_009680	chr13	94358960	94566316	+	3991.0	1	Ap3b1|AP-3|AU015684|C78395|Hps2|beta3A|pe|pearl|rim2|-|13 C3|13 49.22 cM|protein-coding	51.501	59.809	51.355	63.273
NM_010663	chr11	100256215	100261029	-	1543.0	1	Krt17|K17|Krt1-17|-|11 D|11 63.44 cM|protein-coding	0.000	0.000	0.000	0.000
NR_027958	chr11	51650954	51657681	+	3425.0	1	D930048N14Rik|AI315703|R75254|-|11|11 B1.3|ncRNA	0.866	0.267	0.176	1.507
NM_001162475	chr9	58129088	58153997	+	2746.0	1	Stra6|AI891933|-|9|9 B|protein-coding	1.374	0.000	0.000	0.000
NM_026894	chr6	115004381	115037874	-	1156.0	1	Tamm41|1500001M20Rik|TAM41|-|6|6 E3|protein-coding	2.973	6.672	6.605	5.634
NM_001037809	chr8	106510852	106556911	+	4019.0	1	Cdh3|AI385538|Cadp|Cdhp|P-cadherin|Pcad|-|8 D3|8 53.16 cM|protein-coding	0.000	0.000	0.000	0.000
NM_001185020	chr6	119923969	120038655	-	9783.0	1	Wnk1|6430573H23Rik|EG406236|Hsn2|Prkwnk1|mKIAA0344|-|6|6 F1|protein-coding	60.901	60.036	54.586	63.644
NM_001290708	chrX	47809370	47892552	-	3998.0	1	Smarca1|5730494M04Rik|Snf2l|-|X|X A4-A5|protein-coding	0.674	0.589	0.090	0.117
NM_028095	chr7	132827461	132852647	-	1069.0	1	Mettl10|2010208K18Rik|-|7|7 F3|protein-coding	7.691	4.952	5.343	6.202
NM_138944	chr8	78433009	78436652	-	3208.0	1	Pou4f2|Brn-3.2|Brn-3b|Brn3b|Pou4f-rs1|mBrn3-3R|-|8|8 C1|protein-coding	0.000	0.000	0.000	0.000
NM_146465	chr17	37445480	37446517	+	1035.0	1	Olfr108|MOR156-5|-|17|17 B1|protein-coding	0.000	0.000	0.000	0.000
NM_001278207	chr7	45154303	45160064	+	1064.0	1	Pih1d1|1110061L23Rik|4933413A04Rik|Nop17|-|7|7 B3|protein-coding	5.700	6.942	14.070	14.558
NM_021512	chr2	90677215	90736328	+	5645.0	1	Nup160|160kDa|2810011M03Rik|AA414952|AU020188|Gtl-13|Gtl1-13|Gtl13|mKIAA0197|-|2|2 E1|protein-coding	13.574	14.137	16.146	21.629
NM_177785	chr4	42868003	42874203	-	1649.0	1	Fam205c|4931430D02|FAM205CP|-|4|4 A5|protein-coding	0.000	0.000	0.000	0.000
NM_001008426	chr1	153874345	153876871	+	2524.0	1	Teddm1b|EG433365|Gm5531|-|1|1 G3|protein-coding	0.587	0.000	0.000	0.000
NM_133777	chr7	4808014	4812340	-	982.0	1	Ube2s|0910001J09Rik|6720465F12Rik|AA409170|E2-EPF|-|7|7 A1|protein-coding	45.293	60.968	64.715	77.194
NM_001159626	chr17	24850667	24864450	+	1090.0	1	Hagh|BC019817|Glo-2|Glo2|Rsp29|-|17 A3.3|17 12.53 cM|protein-coding	3.277	4.437	2.372	3.391
NM_001081405	chr7	5480456	5493851	-	2737.0	1	Vmn2r28|EG665255|-|7|7 A1|protein-coding	0.000	0.000	0.000	0.000
NM_001033369	chr2	58267453	58324807	-	8648.0	1	Acvr1c|ACTR-IC|ACVRLK7|ALK7|Alk-7|C230097P10|-|2|2 C1.1|protein-coding	0.016	0.370	0.028	0.054
NM_145490	chr17	55892093	55898930	+	2051.0	1	Zfp959|-|-|17|17 D|protein-coding	0.854	1.625	0.938	0.486
NM_016713	chr11	70562881	70614482	+	4829.0	1	Mink1|B55|MINK|Map4k6|Ysk2|-|11|11 B3|protein-coding	24.673	29.628	12.413	16.901
NR_037972	chr8	15041446	15046078	-	1758.0	1	BB014433|-|-|8|8 A1.1|ncRNA	0.000	0.000	0.000	0.000
NM_019417	chr11	54054928	54069017	-	1176.0	1	Pdlim4|Ril|-|11 B1.3|11 32.13 cM|protein-coding	0.000	0.000	0.409	0.100
NM_026668	chr3	30644507	30672431	+	2377.0	1	Lrriq4|4930558O21Rik|-|3|3 A3|protein-coding	0.000	0.000	0.000	0.000
NM_010455	chr6	52215624	52218573	-	1947.0	1	Hoxa7|AV118143|Hox-1.1|M6|-|6 B3|6 25.4 cM|protein-coding	8.792	5.606	5.744	6.931
NR_040528	chr18	66504178	66511737	+	4889.0	1	Gm9926|ENSMUSG00000053891|-|18|18 E1|ncRNA	0.000	0.000	0.000	0.000
NR_015505	chrX	50563120	50635321	-	5795.0	1	Firre|5830467J12Rik|6720401G13Rik|AW048145|-|X|X A5|ncRNA	14.536	17.945	8.269	11.431
NM_206869	chr7	23952387	23953356	+	967.0	1	Vmn1r180|Gm475|V1rd16|-|7|7 A3|protein-coding	0.000	0.000	0.000	0.000
NM_008390	chr11	53770014	53777324	+	2126.0	1	Irf1|AU020929|Irf-1|-|11 B1.3|11 32.0 cM|protein-coding	18.924	22.412	7.155	8.555
NM_007953	chr19	6910977	6921808	-	2233.0	1	Esrra|ERRalpha|Err1|Estrra|Nr3b1|-|19 A|19 5.08 cM|protein-coding	2.052	1.083	1.346	2.365
NM_033595	chr18	37765580	37841872	+	5073.0	1	Pcdhga12|Pcdh13|pc2c|-|18|18 B3|protein-coding	9.538	8.181	5.096	6.939
NM_019573	chr8	114439652	115352712	+	2240.0	1	Wwox|5330426P09Rik|9030416C10Rik|WOX1|-|8|8 E1|protein-coding	2.226	1.576	3.060	2.357
NM_001081114	chr7	30291753	30308367	+	3284.0	1	Clip3|1500005P14Rik|AI844915|Clipr-59|-|7|7 B1|protein-coding	26.944	23.605	7.927	9.630
NM_020277	chr7	143071529	143094642	-	4356.0	1	Trpm5|9430099A16Rik|LTrpC-5|Ltrpc5|Mtr1|-|7|7 F5|protein-coding	1.547	2.491	0.000	0.135
NM_008361	chr2	129364578	129371139	-	1339.0	1	Il1b|IL-1beta|Il-1b|-|2 F1|2 62.97 cM|protein-coding	0.000	0.000	0.629	0.000
NR_105902	chr12	28679325	28679389	+	64.0	1	Mir6937|Gm27448|mmu-mir-6937|-|12|12 A2|ncRNA	0.000	0.000	0.000	0.000
NM_028560	chr14	69840407	70059918	+	1083.0	1	Pebp4|PEBP-4|-|14|14 D2|protein-coding	0.000	0.000	0.000	0.000
NM_011574	chr8	106893640	106923094	+	2230.0	1	Cirh1a|Cirhin|Naic|Teg-292|Tex292|Utp4|-|8|8 D3|protein-coding	16.077	13.893	26.260	25.653
NM_026942	chr9	58253164	58262524	+	1979.0	1	Stoml1|1810015E19Rik|AI847431|SLP1|STORP|UNC24|WPB72|-|9|9 B|protein-coding	2.724	4.558	3.828	1.838
NM_177615	chr10	127172426	127180645	-	2196.0	1	Slc26a10|C78409|D630010I07|-|10|10 D3|protein-coding	0.123	0.268	0.110	0.615
NM_001199186	chr9	21320719	21355028	+	3433.0	1	Slc44a2|1110028E10Rik|CTL2|-|9|9 A3|protein-coding	48.290	41.867	39.300	38.556
NM_153582	chr8	104348193	104395807	-	7726.0	1	Cmtm4|Cklfsf4|D19397|ENSMUSG00000051554|Gm9853|-|8|8 D3|protein-coding	3.393	5.127	3.634	3.873
NM_173737	chr6	87913976	87936613	+	1398.0	1	Hmces|8430410A17Rik|C85376|-|6|6 D1|protein-coding	5.061	2.618	6.107	5.582
NM_177545	chr3	102155900	102204693	-	4204.0	1	Vangl1|Kitenin|Lpp2|Stb2|Stbm|-|3|3 F2.2|protein-coding	1.138	2.052	1.330	0.419
NM_029896	chr9	106170929	106191706	+	4302.0	1	Wdr82|9430077D24Rik|CDW5/WDR82|-|9|9 F1|protein-coding	17.717	14.190	18.588	21.071
NM_001347657	chr7	126945987	126949581	-	1644.0	1	Asphd1|A830007L07Rik|Gm168|-|7|7 F3|protein-coding	0.246	0.080	0.585	1.213
NM_001164739	chrX	78737763	78739410	+	1645.0	1	Fam47c|4921509A18Rik|Fam47a|Fam47a-ps|-|X|X B|protein-coding	0.000	0.000	0.000	0.000
NM_029294	chr12	34984761	34986436	+	1673.0	1	Prps1l1|1700011K15Rik|-|12|12 A3|protein-coding	0.725	1.641	0.719	0.701
NM_001164763	chr3	67478886	67515523	-	1403.0	1	Rarres1|5430417P09Rik|AI662122|-|3|3 E1|protein-coding	0.096	0.093	0.000	0.000
NM_001313962	chr9	108306797	108337943	+	1920.0	1	Rhoa|Arha|Arha1|Arha2|-|9|9 F1-F2|protein-coding	92.065	85.173	110.225	123.853
NM_175383	chr19	5038826	5041134	+	2031.0	1	B4gat1|1500032M01Rik|B3gnt1|B3gnt6|BETA3GNT1|iGAT|iGNT|-|19|19 A|protein-coding	3.517	0.322	1.776	1.329
NR_037297	chrX	38210441	38210520	+	79.0	1	Mir3110|mmu-mir-3110|-|X A3.3|X 22.47 cM|ncRNA	0.000	0.000	0.000	0.000
NM_007700	chr19	44073334	44107477	-	3477.0	1	Chuk|AI256658|Chuk1|Fbx24|Fbxo24|IKBKA|IKK1|Ikka|NFKBIKA|-|19 C3|19 36.71 cM|protein-coding	4.400	5.339	6.173	4.354
NR_040695	chr5	66166607	66191335	-	401.0	1	1700126H18Rik|-|-|5|5 C3.1|ncRNA	0.000	0.000	0.000	0.000
NM_153145	chr11	110025634	110095937	-	5575.0	1	Abca8a|-|-|11|11 E1|protein-coding	0.000	0.000	0.000	0.000
NM_025747	chr8	46169556	46195590	+	4517.0	1	Cfap97|1110068E21Rik|4933411K20Rik|AW049273|Kiaa1430|mKIAA1430|-|8 B1.1|8 26.16 cM|protein-coding	19.574	15.917	17.929	15.691
NM_008493	chr6	29060221	29073876	+	3252.0	1	Lep|ob|obese|-|6 A3.3|6 12.3 cM|protein-coding	0.000	0.000	0.000	0.000
NM_146812	chr7	103611410	103612351	-	940.0	1	Olfr620|MOR4-1|-|7|7 E3|protein-coding	0.000	0.000	0.000	0.000
NM_022031	chr3	88021750	88027511	-	2046.0	1	Hapln2|4930401E20Rik|Bral1|-|3 F1|3 38.78 cM|protein-coding	0.000	0.000	0.000	0.000
NM_011348	chr5	14025276	14256689	+	6842.0	1	Sema3e|6430702L12|AA408817|Semah|mKIAA0331|-|5|5 A1|protein-coding	0.059	0.115	0.035	0.000
NR_015519	chr11	83223576	83226584	+	1404.0	1	AI662270|AW496474|-|11|11 C|ncRNA	22.415	19.133	32.973	35.354
NM_013835	chr1	143750791	143777051	-	8709.0	1	Trove2|1810007I17Rik|A530054J02Rik|AI646302|SS-A/Ro|Ssa|Ssa2|-|1 F|1 62.54 cM|protein-coding	4.310	5.704	2.251	2.964
NM_001113419	chr3	67892220	68626482	+	2384.0	1	Gm21949|Iqcj-schip1|Schip-1-iqcj|Schip1|-|3 E1|3|protein-coding	0.481	0.000	1.765	0.738
